status,type,approved,lat,lng
ACTIVE,Dumbwaiter,20001128,40.74802,-73.98208
ACTIVE,Dumbwaiter,20001031,40.7532,-73.98227
ACTIVE,Dumbwaiter,20010417,40.76834,-73.96658
ACTIVE,Dumbwaiter,20010312,40.71807,-73.99644
ACTIVE,Dumbwaiter,20010312,40.71807,-73.99644
ACTIVE,Dumbwaiter,20001208,40.73659,-73.98856
ACTIVE,Dumbwaiter,20010131,40.72787,-74.00107
ACTIVE,Dumbwaiter,20010331,40.74099,-73.98965
ACTIVE,Dumbwaiter,20010313,40.74099,-73.98965
ACTIVE,Dumbwaiter,20010313,40.74099,-73.98965
ACTIVE,Dumbwaiter,20010205,40.72852,-73.98813
ACTIVE,Dumbwaiter,20010316,40.73862,-73.99335
ACTIVE,Dumbwaiter,20011029,40.78588,-73.9812
ACTIVE,Dumbwaiter,20010328,40.76557,-73.98331
ACTIVE,Dumbwaiter,20010329,40.75215,-73.99264
ACTIVE,Dumbwaiter,20030505,40.78993,-73.97962
ACTIVE,Dumbwaiter,20020506,40.77085,-73.96474
ACTIVE,Dumbwaiter,20010406,40.71396,-73.99613
ACTIVE,Dumbwaiter,20010404,40.71396,-73.99613
ACTIVE,Dumbwaiter,20021213,40.77351,-73.98452
ACTIVE,Dumbwaiter,20021213,40.77351,-73.98452
ACTIVE,Dumbwaiter,20011016,40.72396,-74.0031
NO JURIST,Dumbwaiter,20010509,40.78464,-73.97021
ACTIVE,Dumbwaiter,20020111,40.75642,-73.97509
ACTIVE,Dumbwaiter,20020124,40.7252,-74.0038
ACTIVE,Dumbwaiter,20010921,40.77724,-73.95767
ACTIVE,Dumbwaiter,20010522,40.78553,-73.97699
ACTIVE,Dumbwaiter,20010926,40.76079,-73.96958
ACTIVE,Dumbwaiter,20010813,40.78251,-73.95617
ACTIVE,Dumbwaiter,20010725,40.71802,-74.00039
ACTIVE,Dumbwaiter,20010725,40.71802,-74.00039
ACTIVE,Dumbwaiter,20011116,40.77064,-73.96581
ACTIVE,Dumbwaiter,20020126,40.71848,-73.98665
ACTIVE,Dumbwaiter,20011120,40.72747,-74.00924
ACTIVE,Dumbwaiter,20020320,40.72398,-74.00107
ACTIVE,Dumbwaiter,20040114,40.71148,-74.00699
ACTIVE,Dumbwaiter,20040202,40.71148,-74.00699
ACTIVE,Dumbwaiter,20020111,40.75842,-73.97984
ACTIVE,Dumbwaiter,20020227,40.76525,-73.97604
ACTIVE,Dumbwaiter,20020219,40.74932,-73.97408
ACTIVE,Dumbwaiter,20020425,40.75586,-73.98757
ACTIVE,Dumbwaiter,20020701,40.7748,-73.98148
ACTIVE,Dumbwaiter,20020402,40.80866,-73.96152
ACTIVE,Dumbwaiter,20020313,40.77945,-73.95473
ACTIVE,Dumbwaiter,20020610,40.77854,-73.96194
ACTIVE,Dumbwaiter,20021101,40.76927,-73.96801
ACTIVE,Dumbwaiter,20050825,40.72292,-73.99933
ACTIVE,Dumbwaiter,20030331,40.78657,-73.95607
ACTIVE,Dumbwaiter,20030314,40.72141,-74.00146
ACTIVE,Dumbwaiter,20020806,40.76989,-73.9896
ACTIVE,Dumbwaiter,20020625,40.72055,-73.99563
ACTIVE,Dumbwaiter,20021024,40.73688,-73.99844
ACTIVE,Dumbwaiter,20020808,40.7186,-73.99974
ACTIVE,Dumbwaiter,20020715,40.71403,-73.99518
DISMANTLED,Dumbwaiter,20110330,40.76548,-73.99658
ACTIVE,Dumbwaiter,20020726,40.76548,-73.99658
ACTIVE,Dumbwaiter,20020802,40.77807,-73.95963
ACTIVE,Dumbwaiter,20021004,40.73109,-73.99267
ACTIVE,Dumbwaiter,20020927,40.78284,-73.95807
ACTIVE,Dumbwaiter,20030708,40.75977,-73.97587
ACTIVE,Dumbwaiter,20021209,40.78178,-73.94848
ACTIVE,Dumbwaiter,20021022,40.72232,-73.99879
DISMANTLED,Dumbwaiter,20021112,40.72232,-73.99879
ACTIVE,Dumbwaiter,20021120,40.76967,-73.96583
ACTIVE,Dumbwaiter,20030108,40.71735,-74.00565
WK IN PROG,Dumbwaiter,,40.75443,-73.97856
ACTIVE,Dumbwaiter,20021113,40.75586,-73.98757
ACTIVE,Dumbwaiter,20021106,40.71918,-74.00962
ACTIVE,Dumbwaiter,20030122,40.73486,-73.99974
ACTIVE,Dumbwaiter,20021211,40.75896,-73.96759
ACTIVE,Dumbwaiter,20021210,40.77154,-73.95782
ACTIVE,Dumbwaiter,20031201,40.81095,-73.95376
ACTIVE,Dumbwaiter,20031201,40.81095,-73.95376
DISMANTLED,Dumbwaiter,20030331,40.74942,-73.97657
ACTIVE,Dumbwaiter,20040325,40.77542,-73.96348
ACTIVE,Dumbwaiter,20030505,40.71733,-73.99503
ACTIVE,Dumbwaiter,20030310,40.7632,-73.98689
ACTIVE,Dumbwaiter,20030620,40.71488,-74.00833
ACTIVE,Dumbwaiter,20040629,40.76985,-73.96744
ACTIVE,Dumbwaiter,20031223,40.77718,-73.96068
ACTIVE,Dumbwaiter,20070109,40.71501,-74.00933
ACTIVE,Dumbwaiter,20030609,40.75586,-73.98757
ACTIVE,Dumbwaiter,20010626,40.76319,-73.98107
ACTIVE,Dumbwaiter,20030916,40.75722,-73.98671
ACTIVE,Dumbwaiter,20030916,40.75722,-73.98671
ACTIVE,Dumbwaiter,20030801,40.80388,-73.94674
ACTIVE,Dumbwaiter,20030619,40.74975,-73.98417
ACTIVE,Dumbwaiter,20030620,40.71316,-74.00823
ACTIVE,Dumbwaiter,20060620,40.72032,-73.99705
ACTIVE,Dumbwaiter,20031105,40.79589,-73.93663
ACTIVE,Dumbwaiter,20040505,40.73768,-74.00361
ACTIVE,Dumbwaiter,20030909,40.77704,-73.96232
ACTIVE,Dumbwaiter,20030915,40.75518,-73.97023
NO JURIST,Dumbwaiter,20031118,40.7565,-73.97335
ACTIVE,Dumbwaiter,20030924,40.76067,-73.99137
DISMANTLED,Dumbwaiter,20141009,40.76361,-73.97243
ACTIVE,Dumbwaiter,20040428,40.70599,-74.0186
ACTIVE,Dumbwaiter,20031105,40.76268,-73.97257
NO JURIST,Dumbwaiter,20041022,40.77152,-73.96212
ACTIVE,Dumbwaiter,20051019,40.77555,-73.95877
ACTIVE,Dumbwaiter,20041025,40.72748,-74.00514
ACTIVE,Dumbwaiter,20040121,40.75674,-73.98518
ACTIVE,Dumbwaiter,20040331,40.79197,-73.95221
NO JURIST,Dumbwaiter,20040105,40.83017,-73.94233
ACTIVE,Dumbwaiter,20070622,40.71605,-74.00512
ACTIVE,Dumbwaiter,20040220,40.77759,-73.96243
ACTIVE,Dumbwaiter,20040126,40.75345,-73.98928
ACTIVE,Dumbwaiter,20040126,40.71661,-74.00759
ACTIVE,Dumbwaiter,20040211,40.76847,-73.98309
ACTIVE,Dumbwaiter,20040503,40.76515,-73.96871
ACTIVE,Dumbwaiter,20040526,40.76515,-73.96871
DISMANTLED,Dumbwaiter,20100820,40.74037,-74.00548
ACTIVE,Dumbwaiter,20040409,40.74043,-74.00766
ACTIVE,Dumbwaiter,20040929,40.77884,-73.96147
ACTIVE,Dumbwaiter,19660630,40.79935,-73.96427
ACTIVE,Dumbwaiter,20040628,40.74572,-73.97882
ACTIVE,Dumbwaiter,20040924,40.77123,-73.9626
ACTIVE,Dumbwaiter,20040702,40.78349,-73.95859
ACTIVE,Dumbwaiter,20040908,40.75125,-73.97493
NO JURIST,Dumbwaiter,20050118,40.77384,-73.96486
NO JURIST,Dumbwaiter,20050812,40.76252,-73.96363
ACTIVE,Dumbwaiter,20040625,40.73282,-73.98714
ACTIVE,Dumbwaiter,20040804,40.75713,-73.98884
DISMANTLED,Dumbwaiter,20111024,40.76093,-73.96573
NO JURIST,Dumbwaiter,20050330,40.77498,-73.96247
ACTIVE,Dumbwaiter,20040924,40.76369,-73.96642
ACTIVE,Dumbwaiter,20041019,40.78564,-73.9519
ACTIVE,Dumbwaiter,20040813,40.71396,-73.99376
ACTIVE,Dumbwaiter,20040914,40.71867,-73.99022
ACTIVE,Dumbwaiter,20050128,40.80672,-73.96294
ACTIVE,Dumbwaiter,20050711,40.76913,-73.95642
WK IN PROG,Dumbwaiter,,40.75284,-73.99607
WK IN PROG,Dumbwaiter,,40.75284,-73.99607
WK IN PROG,Dumbwaiter,,40.75284,-73.99607
WK IN PROG,Dumbwaiter,,40.75284,-73.99607
WK IN PROG,Dumbwaiter,,40.75284,-73.99607
WK IN PROG,Dumbwaiter,,40.75284,-73.99607
WK IN PROG,Dumbwaiter,,40.75284,-73.99607
WK IN PROG,Dumbwaiter,,40.75284,-73.99607
ACTIVE,Dumbwaiter,20041103,40.76127,-73.96532
ACTIVE,Dumbwaiter,20041029,40.71335,-73.99613
ACTIVE,Dumbwaiter,20041029,40.71335,-73.99613
ACTIVE,Dumbwaiter,20041103,40.77665,-73.95037
ACTIVE,Dumbwaiter,20041129,40.75775,-73.97243
ACTIVE,Dumbwaiter,20050218,40.74845,-73.98571
ACTIVE,Dumbwaiter,20041129,40.76397,-73.9632
ACTIVE,Dumbwaiter,20041129,40.76397,-73.9632
DISMANTLED,Dumbwaiter,20111115,40.80493,-73.93381
ACTIVE,Dumbwaiter,20041117,40.76983,-73.96715
